X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,G_t,dip,azimuth,polarity,formation,series,id,order_series,smooth,group,X_s,Y_s,Z_s,T,is_new
451972.4,6782868.5,-6077.8076,0.331104179,0.486608053,0.48006847,0.8170535,0.055876397,0.57384795,0,54.98100671,86.08776573,1,fault4,fault4,2,2,0.01,fault4,0.162008358,0.17975263,0.114457361,0,FALSE
452592.88,6782810,-6420.5137,0.396251908,0.480465805,0.444085805,0.41616842,-0.004563898,0.90927607,0,24.5944993,90.62830719,1,fault4,fault4,2,2,0.01,fault4,0.292303816,0.167468134,0.042492031,0,FALSE
451738.03,6782920.5,-5929.3135,0.306496338,0.492067829,0.495659711,0.5115719,0.21549737,0.8317783,0,33.71815189,67.15695913,1,fault4,fault4,2,2,0.01,fault4,0.112792676,0.190672182,0.145639844,0,FALSE
452396.94,6783015,-6325.966,0.375679051,0.501989923,0.454012906,0.4246787,0.13618608,0.89504266,0,26.48609013,72.21997925,1,fault4,fault4,2,2,0.01,fault4,0.251158103,0.210516369,0.062346234,0,FALSE
452318.34,6783222,-6382.8623,0.36742639,0.523724031,0.448039039,0.46036294,0.19624689,0.8657674,0,30.02955186,66.91206262,1,fault4,fault4,2,2,0.01,fault4,0.234652779,0.253984587,0.050398501,0,FALSE
452068.66,6783459,-6195.9297,0.341211064,0.548608011,0.467666158,0.5260587,-0.37087435,0.7653199,0,40.06453987,125.1840524,1,fault4,fault4,2,2,0.01,fault4,0.182222129,0.303752546,0.089652737,0,FALSE
452757.94,6783537,-6546.6904,0.413582497,0.556797675,0.430837794,0.38432097,-0.37688288,0.84276724,0,32.56650259,134.4401531,1,fault4,fault4,2,2,0.01,fault4,0.326964994,0.320131875,0.01599601,0,FALSE
452515.03,6783531.5,-6461.5117,0.388077993,0.556220199,0.439781191,0.4171583,-0.37640405,0.8272236,0,34.18541799,132.0600963,1,fault4,fault4,2,2,0.01,fault4,0.275955986,0.318976922,0.033882804,0,FALSE
452597.88,6783679,-6383.4155,0.396776886,0.571707064,0.447980956,0.45571926,-0.44660938,0.76997405,0,39.64844138,134.4215634,1,fault4,fault4,2,2,0.01,fault4,0.293353772,0.349950652,0.050282333,0,FALSE
452160.62,6783819,-6012.1504,0.350866469,0.586406461,0.486962193,0.5664743,-0.5839473,0.58147424,0,54.44570023,135.8701612,1,fault4,fault4,2,2,0.01,fault4,0.201532937,0.379349447,0.128244808,0,FALSE
452717.9,6783898,-6397.4927,0.40937847,0.594701121,0.44650291,0.5020844,-0.42595786,0.7526428,0,41.18017309,130.3105738,1,fault4,fault4,2,2,0.01,fault4,0.318556939,0.395938767,0.047326243,0,FALSE
452322.1,6782459.5,-5575.0566,0.367821173,0.443664814,0.532855161,-0.13459288,0.07297747,0.98821,0,8.806881493,298.4669474,1,BCU,unconformity,3,3,0.01,BCU,0.235442347,0.093866151,0.220030743,0,FALSE
451789.38,6782354.5,-5610.9487,0.311887867,0.432640266,0.529086645,-0.020766338,0.046108864,0.9987205,0,2.898705489,335.7543292,1,BCU,unconformity,3,3,0.01,BCU,0.123575733,0.071817056,0.212493711,0,FALSE
451490.28,6782598,-5608.139,0.280483654,0.458206718,0.529381651,0.027991708,0.00090337,0.99960774,0,1.604866234,88.15154755,1,BCU,unconformity,3,3,0.01,BCU,0.060767309,0.122949959,0.213083724,0,FALSE
453910.75,6782029.5,-5338.66,0.534622585,0.398516665,0.557675786,-0.0917763,-0.059763208,0.99398464,0,6.287621433,236.9284908,1,BCU,unconformity,3,3,0.01,BCU,0.569045169,0.003569854,0.269671993,0,FALSE
452792.5,6782360.5,-5487.791,0.417211148,0.43327024,0.542017673,-0.16646,0.06488548,0.98391104,0,10.2916645,291.295649,1,BCU,unconformity,3,3,0.01,BCU,0.334222297,0.073077004,0.238355767,0,FALSE
454749.56,6782029.5,-5289.002,0.622694024,0.398516665,0.562889662,-0.028878257,-0.10000242,0.99456805,0,5.974647633,196.1074261,1,BCU,unconformity,3,3,0.01,BCU,0.745188047,0.003569854,0.280099746,0,FALSE
455105.22,6782029.5,-5283.1973,0.660036793,0.398516665,0.563499131,-0.025607336,-0.109197095,0.9936902,0,6.439824782,193.1977065,1,BCU,unconformity,3,3,0.01,BCU,0.819873585,0.003569854,0.281318683,0,FALSE
455494.25,6782029.5,-5270.877,0.700883268,0.398516665,0.564792709,-0.051370896,-0.12642808,0.9906447,0,7.843423254,202.1131392,1,BCU,unconformity,3,3,0.01,BCU,0.901566536,0.003569854,0.28390584,0,FALSE
453414.03,6782385,-5386.407,0.482469123,0.435842635,0.552662556,-0.15092982,0.022354323,0.9882917,0,8.776254347,278.4248701,1,BCU,unconformity,3,3,0.01,BCU,0.464738246,0.078221793,0.259645535,0,FALSE
455421.88,6782547,-5219.8975,0.693284729,0.452851937,0.570145337,-0.067591086,-0.06367102,0.9956794,0,5.328023757,226.7105965,1,BCU,unconformity,3,3,0.01,BCU,0.886369459,0.112240398,0.294611096,0,FALSE
451582.97,6782930.5,-5617.874,0.290215705,0.493117786,0.528359518,0.012524919,0.03397763,0.9993441,0,2.075296656,20.23502156,1,BCU,unconformity,3,3,0.01,BCU,0.080231411,0.192772096,0.211039457,0,FALSE
455963,6782618,-5166.078,0.7501,0.460306632,0.575796153,-0.08923455,-0.0704631,0.9935151,0,6.528662945,231.7039946,1,BCU,unconformity,3,3,0.01,BCU,1,0.127149787,0.305912728,0,FALSE
451819.38,6782676,-5615.172,0.315037738,0.466396382,0.528643216,-0.007658713,0.014826658,0.9998607,0,0.956353012,332.6813765,1,BCU,unconformity,3,3,0.01,BCU,0.129875475,0.139329287,0.211606854,0,FALSE
453467.3,6782845,-5393.49,0.488062244,0.484140654,0.551918872,-0.17767005,0.04609335,0.98301005,0,10.57670744,284.5437448,1,BCU,unconformity,3,3,0.01,BCU,0.475924487,0.174817832,0.258158166,0,FALSE
453732.75,6782737,-5343.1553,0.515933351,0.472801119,0.557203799,-0.15410492,0.015872844,0.98792696,0,8.912178129,275.8807413,1,BCU,unconformity,3,3,0.01,BCU,0.531666702,0.152138762,0.268728019,0,FALSE
455313.3,6782983,-5211.3706,0.681884297,0.49863006,0.571040625,-0.07170614,-0.015526952,0.997305,0,4.207407711,257.7820351,1,BCU,unconformity,3,3,0.01,BCU,0.863568594,0.203796644,0.296401672,0,FALSE
454486.2,6782890,-5250.1934,0.595042357,0.488865461,0.566964398,-0.06133606,-0.011282878,0.9980534,0,3.575579715,259.5768633,1,BCU,unconformity,3,3,0.01,BCU,0.689884715,0.184267445,0.288249218,0,FALSE
454685.8,6783124,-5240.4565,0.615999498,0.513434453,0.567986731,-0.047770217,0.012983241,0.998774,0,2.837443652,285.2048701,1,BCU,unconformity,3,3,0.01,BCU,0.731798996,0.23340543,0.290293883,0,FALSE
451664.66,6783550,-5648.939,0.298792804,0.558162619,0.525097827,-0.036723223,0.060083244,0.9975176,0,4.03797284,328.5664874,1,BCU,unconformity,3,3,0.01,BCU,0.097385607,0.322861763,0.204516075,0,FALSE
451263.6,6783573.5,-5657.6875,0.25668323,0.560630018,0.524179272,-0.015936974,0.08018219,0.9966528,0,4.689209922,348.7584242,1,BCU,unconformity,3,3,0.01,BCU,0.01316646,0.32779656,0.202678965,0,FALSE
453117.94,6783249,-5482.841,0.451380947,0.526558915,0.542537402,-0.17773612,0.053486217,0.9826236,0,10.69666559,286.7481426,1,BCU,unconformity,3,3,0.01,BCU,0.402561895,0.259654354,0.239395225,0,FALSE
454091.97,6783222,-5294.9697,0.553649904,0.523724031,0.562263079,-0.15077569,0.03641249,0.98789716,0,8.923192616,283.5770263,1,BCU,unconformity,3,3,0.01,BCU,0.607099809,0.253984587,0.27884658,0,FALSE
452576.88,6783459,-5579.65,0.394571977,0.548608011,0.532372873,-0.12996721,0.022108095,0.9912718,0,7.575588317,279.653902,1,BCU,unconformity,3,3,0.01,BCU,0.288943953,0.303752546,0.219066168,0,FALSE
454203.03,6783590,-5300.423,0.565310726,0.562362447,0.561690506,-0.13347282,0.06972682,0.98859656,0,8.661021984,297.5827754,1,BCU,unconformity,3,3,0.01,BCU,0.630421453,0.331261418,0.277701434,0,FALSE
451703.66,6783978,-5662.5615,0.302887636,0.603100777,0.523667523,-0.06764671,0.029333431,0.99727803,0,4.228417465,293.4428508,1,BCU,unconformity,3,3,0.01,BCU,0.105575271,0.412738078,0.201655467,0,FALSE
453443.75,6783979,-5456.6826,0.485589595,0.603205773,0.545283921,-0.18063636,0.046134952,0.98246735,0,10.74479141,284.3271956,1,BCU,unconformity,3,3,0.01,BCU,0.47097919,0.412948069,0.244888264,0,FALSE
452565.3,6783979.5,-5582.091,0.393356126,0.603258271,0.532116579,-0.11402888,-0.020168591,0.9932727,0,6.649696098,259.9696806,1,BCU,unconformity,3,3,0.01,BCU,0.286512253,0.413053065,0.218553579,0,FALSE
453803.97,6783978.5,-5394.244,0.523411144,0.603153275,0.551839705,-0.159628,0.07317609,0.98446137,0,10.11365102,294.6274969,1,BCU,unconformity,3,3,0.01,BCU,0.546622288,0.412843073,0.257999832,0,FALSE
454309.84,6783979,-5324.286,0.576525317,0.603205773,0.559184994,-0.12314489,0.10823468,0.98646873,0,9.436215327,311.3129306,1,BCU,unconformity,3,3,0.01,BCU,0.652850633,0.412948069,0.27269041,0,FALSE
455961.53,6783979.5,-5164.224,0.749945656,0.603258271,0.575990815,-0.08620751,0.03570286,0.99563724,0,5.353974662,292.4969026,1,BCU,unconformity,3,3,0.01,BCU,0.999691313,0.413053065,0.306302052,0,FALSE
451304.1,6782096.5,-6379.891,0.260935556,0.405551376,0.448351013,-0.44060168,0.041036375,0.8967643,0,26.26404444,275.321014,1,etive,sediments,4,4,0.01,etive A,0.021671111,0.017639277,0.051022448,0,FALSE
451248.88,6782467,-6438.086,0.255137693,0.444452282,0.442240789,-0.44697174,0.09223565,0.8897802,0,27.1543601,281.659709,1,etive,sediments,4,4,0.01,etive A,0.010075387,0.095441087,0.038801999,0,FALSE
451402.38,6782630,-6377.634,0.271254533,0.46156658,0.448587988,-0.4658413,0.077674694,0.88145256,0,28.18191566,279.4664481,1,etive,sediments,4,4,0.01,etive A,0.042309065,0.129669684,0.051496399,0,FALSE
451962.47,6782643,-6079.9175,0.330061572,0.462931524,0.479846939,-0.2454243,0.24216837,0.93868065,0,20.16884374,314.6174096,1,etive,sediments,4,4,0.01,etive A,0.159923143,0.132399572,0.1140143,0,FALSE
451575.56,6782945,-6326.2354,0.289437687,0.494640224,0.45398462,-0.43453294,0.078571424,0.8972222,0,26.20469348,280.2493703,1,etive,sediments,4,4,0.01,etive A,0.078675374,0.195816972,0.062289662,0,FALSE
451315.3,6783487,-6452.1953,0.262111508,0.551547891,0.440759373,-0.41852573,0.015526923,0.90807223,0,24.75970725,272.1246468,1,etive,sediments,4,4,0.01,etive A,0.024023015,0.309632305,0.035839168,0,FALSE
451598.75,6783529.5,-6333.9443,0.291872537,0.556010208,0.453175219,-0.29235345,0.12584847,0.94799346,0,18.55953101,293.2902757,1,etive,sediments,4,4,0.01,etive A,0.083545075,0.318556939,0.060670859,0,FALSE
451471.72,6783620,-6394.657,0.278534934,0.565512318,0.446800647,-0.3166603,0.12223359,0.94063026,0,19.84232888,291.1070157,1,etive,sediments,4,4,0.01,etive A,0.056869868,0.33756116,0.047921715,0,FALSE
451373.94,6783926.5,-6606.303,0.268268455,0.597693499,0.424578728,-0.1892258,0.6801444,0.70823526,0,44.90848797,344.45268,1,etive,sediments,4,4,0.01,etive A,0.03633691,0.401923521,0.003477877,0,FALSE
451701.94,6783891,-6405.1094,0.302707043,0.593966151,0.44570319,-0.36178017,0.38065866,0.8510077,0,31.67855788,316.4565843,1,etive,sediments,4,4,0.01,etive A,0.105214086,0.394468827,0.045726801,0,FALSE
453017.72,6782054.5,-6137.425,0.440858279,0.401141557,0.473808899,-0.35755196,0.11487796,0.9268007,0,22.0585292,287.8117057,1,etive,sediments,4,4,0.01,etive B,0.381516558,0.008819638,0.101938221,0,FALSE
454043.5,6782238,-5719.077,0.548560763,0.420408267,0.517733639,-0.44977993,-0.002756944,0.89313513,0,26.73011121,269.6488076,1,etive,sediments,4,4,0.01,etive B,0.596921526,0.047353059,0.189787699,0,FALSE
453906.78,6782100.5,-5804.58,0.534205752,0.405971359,0.508756192,-0.43901828,-0.038688347,0.89764476,0,26.14981208,264.9638376,1,etive,sediments,4,4,0.01,etive B,0.568211503,0.018479242,0.171832805,0,FALSE
454012.47,6782402,-5739.2935,0.545302747,0.437627561,0.515610993,-0.44796425,0.004079754,0.89404213,0,26.61434174,270.5217966,1,etive,sediments,4,4,0.01,etive B,0.590405493,0.081791647,0.185542408,0,FALSE
452702.56,6782623,-6314.6646,0.407767836,0.46083161,0.455199504,-0.3331748,0.07678611,0.9397332,0,19.99320099,282.9782259,1,etive,sediments,4,4,0.01,etive B,0.315335671,0.128199744,0.064719431,0,FALSE
454244.53,6782580.5,-5606.9307,0.569668048,0.456369293,0.529508517,-0.4898205,-0.06072997,0.86970556,0,29.57555831,262.9323002,1,etive,sediments,4,4,0.01,etive B,0.639136095,0.11927511,0.213337456,0,FALSE
453183.06,6782763,-6173.549,0.458218267,0.475531007,0.470016035,-0.31920698,0.13850147,0.9375096,0,20.36255411,293.4556535,1,etive,sediments,4,4,0.01,etive B,0.416236534,0.157598538,0.094352492,0,FALSE
453087.97,6783017,-6229.334,0.448234226,0.502199914,0.46415885,-0.30320993,0.111208454,0.9464124,0,18.84206612,290.1415468,1,etive,sediments,4,4,0.01,etive B,0.396268453,0.210936352,0.082638122,0,FALSE
454482.94,6782845.5,-5442.227,0.594700071,0.484193152,0.546801697,-0.51203007,-0.002527335,0.8589638,0,30.79956326,269.7171955,1,etive,sediments,4,4,0.01,etive B,0.689200143,0.174922828,0.247923815,0,FALSE
453029.56,6783342,-6288.9277,0.442101428,0.536323515,0.457901768,-0.30009177,0.038608298,0.9531287,0,17.61173843,277.3311154,1,etive,sediments,4,4,0.01,etive B,0.384002856,0.279183553,0.070123958,0,FALSE
453910,6783032,-5857.4595,0.534543838,0.503774849,0.503204072,-0.5203451,0.07360095,0.8507784,0,31.70356635,278.0508747,1,etive,sediments,4,4,0.01,etive B,0.568887676,0.214086222,0.160728565,0,FALSE
453435.38,6783079.5,-6105.031,0.484710781,0.508762145,0.47721013,-0.42977834,0.0763588,0.8996999,0,25.88135157,280.0746225,1,etive,sediments,4,4,0.01,etive B,0.469221562,0.224060814,0.108740682,0,FALSE
453952.16,6783174,-5829.4556,0.538970456,0.518684238,0.506144361,-0.5176894,0.035689145,0.85482395,0,31.25970902,273.9436912,1,etive,sediments,4,4,0.01,etive B,0.577740913,0.243905,0.166609143,0,FALSE
453623.1,6783286,-6030.849,0.504420573,0.530443756,0.484998921,-0.46543628,0.05905292,0.88310915,0,27.98027668,277.2308525,1,etive,sediments,4,4,0.01,etive B,0.508641146,0.267424036,0.124318263,0,FALSE
453712.16,6783478.5,-5988.9043,0.513771489,0.550655427,0.489402934,-0.48186344,0.046665918,0.8750028,0,28.95469299,275.5315421,1,etive,sediments,4,4,0.01,etive B,0.527342979,0.307847378,0.133126289,0,FALSE
454012.56,6783519,-5812.2134,0.545312196,0.554907753,0.507954717,-0.5090927,0.12670575,0.8513344,0,31.64289595,283.9761235,1,etive,sediments,4,4,0.01,etive B,0.590424393,0.31635203,0.170229857,0,FALSE
453406.12,6783963,-6179.953,0.481638607,0.601525842,0.469343643,-0.39877743,0.10921543,0.91052103,0,24.4225464,285.3163431,1,etive,sediments,4,4,0.01,etive B,0.463077214,0.409588207,0.093007707,0,FALSE
452678.12,6783584.5,-6359.2188,0.405201741,0.561784971,0.450521505,-0.061835542,-0.05047717,0.9968091,0,4.5783583,230.7747838,1,etive,sediments,4,4,0.01,etive B,0.310203482,0.330106466,0.055363432,0,FALSE
454364.3,6783857.5,-5612.353,0.582243382,0.590448796,0.528939199,-0.58474684,0.08639546,0.8066021,0,36.23473646,278.4045605,1,etive,sediments,4,4,0.01,etive B,0.664286764,0.387434115,0.21219882,0,FALSE
455375.3,6782442,-5860.9404,0.68839403,0.441827389,0.502838592,-0.19990267,-0.054326743,0.9783085,0,11.95557877,254.7961593,1,etive,sediments,4,4,0.01,etive C,0.87658806,0.090191302,0.159997606,0,FALSE
455718.88,6782388,-5721.2803,0.724468451,0.436157622,0.517502302,-0.4835083,-0.23876178,0.8421476,0,32.63239943,243.7193274,1,etive,sediments,4,4,0.01,etive C,0.948736902,0.078851767,0.189325025,0,FALSE
455828.97,6782207,-5791.9053,0.736027427,0.417153401,0.510086981,-0.5062519,-0.37444407,0.776853,0,39.02666469,233.5118955,1,etive,sediments,4,4,0.01,etive C,0.971854854,0.040843325,0.174494383,0,FALSE
455508.44,6782603,-5818.3584,0.702373157,0.458731696,0.507309519,-0.3570567,0.022576975,0.9338098,0,20.96329719,273.6180404,1,etive,sediments,4,4,0.01,etive C,0.904546314,0.123999916,0.168939459,0,FALSE
455664.53,6782781,-5750.72,0.718761935,0.47742093,0.51441126,-0.42424613,0.09562542,0.9004837,0,25.77827954,282.7022396,1,etive,sediments,4,4,0.01,etive C,0.93732387,0.161378383,0.183142941,0,FALSE
455275.88,6783095.5,-5883.414,0.677955358,0.510442076,0.500478961,-0.16120467,0.01522339,0.9868036,0,9.318459438,275.3947377,1,etive,sediments,4,4,0.01,etive C,0.855710716,0.227420676,0.155278344,0,FALSE
455900.8,6782906.5,-5647.422,0.743569268,0.49059789,0.525257105,-0.43775842,0.10254183,0.8932261,0,26.71852077,283.1834393,1,etive,sediments,4,4,0.01,etive C,0.986938536,0.187732303,0.204834632,0,FALSE
455800.25,6783055,-5730.269,0.733011951,0.50618975,0.516558527,-0.46575615,0.052379847,0.8833615,0,27.94944352,276.4166341,1,etive,sediments,4,4,0.01,etive C,0.965823901,0.218916024,0.187437475,0,FALSE
455558.2,6783082,-5827.2324,0.707597743,0.509024634,0.506377787,-0.22448556,0.0545368,0.97295016,0,13.35684352,283.654969,1,etive,sediments,4,4,0.01,etive C,0.914995485,0.224585792,0.167075996,0,FALSE
455929.22,6783205.5,-5670.8384,0.746553245,0.521991602,0.522798484,-0.39668232,0.05985756,0.9160023,0,23.65152969,278.5809359,1,etive,sediments,4,4,0.01,etive C,0.992906491,0.250519729,0.199917389,0,FALSE
455853.16,6782064,-5807.736,0.738567273,0.402139016,0.508424825,-0.49096787,-0.20539878,0.8466179,0,32.15430294,247.2977682,1,etive,sediments,4,4,0.01,etive C,0.976934546,0.010814557,0.171170072,0,FALSE
451488.84,6782070.5,-6029.546,0.28033246,0.402821488,0.48513573,-0.5019621,0.043433063,0.8637984,0,30.25421982,274.9452908,1,ness,sediments,5,4,0.01,ness A,0.060464921,0.012179501,0.124591882,0,FALSE
451709.88,6782070,-5889.612,0.303540709,0.402768991,0.499828198,-0.47541845,0.09130494,0.875009,0,28.95395921,280.8713843,1,ness,sediments,5,4,0.01,ness A,0.106881418,0.012074505,0.153976817,0,FALSE
451316.1,6782595.5,-6162.699,0.262195504,0.457944228,0.471155238,-0.42234322,0.11769917,0.89876205,0,26.00418165,285.5721611,1,ness,sediments,5,4,0.01,ness A,0.024191008,0.122424981,0.096630898,0,FALSE
451488,6782599.5,-6088.171,0.280244264,0.458364211,0.478980357,-0.41629177,0.11382455,0.9020782,0,25.56740364,285.2923178,1,ness,sediments,5,4,0.01,ness A,0.060288528,0.123264946,0.112281136,0,FALSE
451484.62,6782919.5,-6140.0312,0.279889379,0.491962834,0.47353526,-0.47629598,0.067384645,0.87669915,0,28.75328824,278.0525594,1,ness,sediments,5,4,0.01,ness A,0.059578757,0.190462191,0.101390941,0,FALSE
451338.84,6783234,-6221.0703,0.264583106,0.52498398,0.465026503,-0.48802626,-0.006489703,0.8728048,0,29.21377045,269.2381339,1,ness,sediments,5,4,0.01,ness A,0.028966212,0.256504483,0.084373428,0,FALSE
451744.78,6783110,-5946.6587,0.307205059,0.511964514,0.49383854,-0.58056635,-0.028425382,0.8137166,0,35.53934084,267.1969528,1,ness,sediments,5,4,0.01,ness A,0.114210117,0.230465551,0.141997501,0,FALSE
451593.25,6783164.5,-6042.6455,0.291295061,0.517686779,0.483760339,-0.64481467,-0.04709676,0.7628866,0,40.28066071,265.8225789,1,ness,sediments,5,4,0.01,ness A,0.082390122,0.241910082,0.1218411,0,FALSE
451553.62,6783541,-6089.2344,0.287134082,0.557217658,0.478868705,-0.52701575,0.064775035,0.84738344,0,32.0717918,277.0070299,1,ness,sediments,5,4,0.01,ness A,0.074068163,0.32097184,0.112057832,0,FALSE
451789.97,6783876,-6002.831,0.311949814,0.592391216,0.48794069,-0.4372517,0.14124654,0.8881781,0,27.3548069,287.9021464,1,ness,sediments,5,4,0.01,ness A,0.123699628,0.391318956,0.130201802,0,FALSE
