X,Y,Z,X_r,Y_r,Z_r,G_x,G_y,G_z,G_t,dip,azimuth,polarity,formation,series,id,order_series,smooth,group,T,X_s,Y_s,Z_s
452128.62,6782438.0,-6048.193,0.347506606,0.441407406,0.483177875,0.58455986,0.49273795,0.6445922,0,49.86489309,49.87174774,1,fault4,fault4,2,2,0.01,fault4,0,0.19481321265827609,0.08935133659520003,0.12067617227693715
451728.78,6782549.5,-5834.132,0.305525128,0.453114426,0.505653359,0.47974446,0.37066263,0.7952701,0,37.31922528,52.30942374,1,fault4,fault4,2,2,0.01,fault4,0,0.1108502551395408,0.11276537661955915,0.16562713928729006
452202.06,6782703.0,-6170.172,0.35521749,0.469231266,0.470370605,0.4548402,0.19331938,0.8693377,0,29.61823305,66.97319617,1,fault4,fault4,2,2,0.01,fault4,0,0.21023498036580066,0.1449990550387441,0.09506163247306912
452395.9,6782504.0,-6272.747,0.375569856,0.448337122,0.459600672,0.5652672,0.23515941,0.79067886,0,37.75100266,67.4119762,1,fault4,fault4,2,2,0.01,fault4,0,0.25093971147183086,0.10321076835849781,0.07352176560761034
452706.38,6782993.0,-6446.252,0.408168919,0.499680017,0.441383394,0.5721871,0.107766114,0.8130119,0,35.60874527,79.33381965,1,fault4,fault4,2,2,0.01,fault4,0,0.31613783834862536,0.2058965582411131,0.037087209424413646
451972.4,6782868.5,-6077.8076,0.331104179,0.486608053,0.48006847,0.8170535,0.055876397,0.57384795,0,54.98100671,86.08776573,1,fault4,fault4,2,2,0.01,fault4,0,0.16200835765733684,0.17975263014216505,0.11445736124818932
452592.88,6782810.0,-6420.5137,0.396251908,0.480465805,0.444085805,0.41616842,-0.004563898,0.90927607,0,24.5944993,90.62830719,1,fault4,fault4,2,2,0.01,fault4,0,0.2923038155435602,0.16746813380651476,0.04249203082673618
451738.03,6782920.5,-5929.3135,0.306496338,0.492067829,0.495659711,0.5115719,0.21549737,0.8317783,0,33.71815189,67.15695913,1,fault4,fault4,2,2,0.01,fault4,0,0.11279267550030601,0.19067218244052087,0.1456398437664062
452396.94,6783015.0,-6325.966,0.375679051,0.501989923,0.454012906,0.4246787,0.13618608,0.89504266,0,26.48609013,72.21997925,1,fault4,fault4,2,2,0.01,fault4,0,0.2511581025177936,0.21051636882887906,0.0623462338044142
452318.34,6783222.0,-6382.8623,0.36742639,0.523724031,0.448039039,0.46036294,0.19624689,0.8657674,0,30.02955186,66.91206262,1,fault4,fault4,2,2,0.01,fault4,0,0.23465277923605296,0.25398458663194934,0.050398500661473125
452068.66,6783459.0,-6195.9297,0.341211064,0.548608011,0.467666158,0.5260587,-0.37087435,0.7653199,0,40.06453987,125.1840524,1,fault4,fault4,2,2,0.01,fault4,0,0.18222212889270603,0.30375254614560954,0.08965273723777371
452757.94,6783537.0,-6546.6904,0.413582497,0.556797675,0.430837794,0.38432097,-0.37688288,0.84276724,0,32.56650259,134.4401531,1,fault4,fault4,2,2,0.01,fault4,0,0.32696499443522536,0.32013187459314324,0.01599601016358324
452515.03,6783531.5,-6461.5117,0.388077993,0.556220199,0.439781191,0.4171583,-0.37640405,0.8272236,0,34.18541799,132.0600963,1,fault4,fault4,2,2,0.01,fault4,0,0.27595598580458436,0.31897692194620175,0.03388280380504411
452597.88,6783679.0,-6383.4155,0.396776886,0.571707064,0.447980956,0.45571926,-0.44660938,0.76997405,0,39.64844138,134.4215634,1,fault4,fault4,2,2,0.01,fault4,0,0.29335377249532524,0.34995065202326875,0.05028233342432979
452160.62,6783819.0,-6012.1504,0.350866469,0.586406461,0.486962193,0.5664743,-0.5839473,0.58147424,0,54.44570023,135.8701612,1,fault4,fault4,2,2,0.01,fault4,0,0.201532937149572,0.3793494466726883,0.12824480796287402
452717.9,6783898.0,-6397.4927,0.40937847,0.594701121,0.44650291,0.5020844,-0.42595786,0.7526428,0,41.18017309,130.3105738,1,fault4,fault4,2,2,0.01,fault4,0,0.31855693916549577,0.395938766510575,0.04732624262405265
